start,end,start_frame,end_frame,speaker
704.93346875,705.0515937499999,16918,16921,SPEAKER_02
705.0515937499999,705.06846875,16921,16921,SPEAKER_01
705.06846875,705.08534375,16921,16922,SPEAKER_02
705.08534375,705.11909375,16922,16922,SPEAKER_01
705.5578437500001,710.40096875,16933,17049,SPEAKER_02
712.0547187500001,725.50409375,17089,17412,SPEAKER_02
726.3647187500001,733.4353437500001,17432,17602,SPEAKER_02
733.5703437500001,740.23596875,17605,17765,SPEAKER_02
739.7465937500001,740.2022187500002,17753,17764,SPEAKER_01
741.1472187500001,742.10909375,17787,17810,SPEAKER_02
743.34096875,752.04846875,17840,18049,SPEAKER_02
752.35221875,761.5828437499999,18056,18277,SPEAKER_02
762.5109687500001,775.5047187499999,18300,18612,SPEAKER_02
772.6528437500001,773.2097187500001,18543,18557,SPEAKER_00
776.1965937500001,789.6797187500001,18628,18952,SPEAKER_02
789.91596875,793.27409375,18957,19038,SPEAKER_02
793.66221875,799.70346875,19047,19192,SPEAKER_02
793.71284375,794.1515937500001,19049,19059,SPEAKER_01
799.9228437500001,800.41221875,19198,19209,SPEAKER_01
800.5134687500001,802.3022187500001,19212,19255,SPEAKER_02
803.3147187500001,804.6984687500001,19279,19312,SPEAKER_02
805.10346875,805.4409687500001,19322,19330,SPEAKER_01
806.89221875,808.6472187500001,19365,19407,SPEAKER_02
810.45284375,811.66784375,19450,19480,SPEAKER_01
816.2240937500001,824.8472187500001,19589,19796,SPEAKER_01
825.3703437500001,830.7534687500001,19808,19938,SPEAKER_01
831.22596875,835.44471875,19949,20050,SPEAKER_01
835.76534375,837.38534375,20058,20097,SPEAKER_01
837.85784375,838.98846875,20108,20135,SPEAKER_01
838.71846875,838.8703437500001,20129,20132,SPEAKER_02
839.98409375,841.0303437500002,20159,20184,SPEAKER_01
841.77284375,846.98721875,20202,20327,SPEAKER_01
847.71284375,852.87659375,20345,20469,SPEAKER_01
853.6865937500002,854.4797187500001,20488,20507,SPEAKER_01
855.27284375,856.3359687500001,20526,20552,SPEAKER_01
856.84221875,860.4365937500002,20564,20650,SPEAKER_01
860.60534375,862.30971875,20654,20695,SPEAKER_01
862.6472187500001,863.0859687500001,20703,20714,SPEAKER_01
863.2378437500001,867.4228437500001,20717,20818,SPEAKER_01
868.35096875,869.0090937500001,20840,20856,SPEAKER_01
869.6672187500001,879.58971875,20872,21110,SPEAKER_01
874.1728437500001,874.57784375,20980,20989,SPEAKER_02
875.4384687500001,876.1809687500001,21010,21028,SPEAKER_02
876.82221875,877.1597187500001,21043,21051,SPEAKER_02
880.0790937500001,880.72034375,21121,21137,SPEAKER_01
881.1084687500002,882.57659375,21146,21181,SPEAKER_01
883.80846875,886.9640937500001,21211,21287,SPEAKER_01
