frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
6, 0, 0.208, 0.98, 1, 0.00, 0.00, 0.65, 0.42, 0.62, 0.00, 1.08, 0.77, 1.70, 1.95, 0.31, 0.00, 0.88, 0.00, 1.14, 0.87, 1.99, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
6, 1, 0.208, 0.98, 1, 0.00, 0.00, 1.21, 0.00, 0.28, 0.34, 1.31, 0.00, 0.00, 0.10, 1.59, 0.95, 0.37, 0.10, 0.00, 0.05, 1.57, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
7, 0, 0.250, 0.98, 1, 0.20, 0.00, 0.82, 0.95, 0.98, 0.00, 1.01, 1.09, 2.18, 2.36, 0.29, 0.00, 0.78, 0.00, 1.60, 0.23, 1.83, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
7, 1, 0.250, 0.98, 1, 0.00, 0.00, 1.75, 0.00, 0.75, 1.41, 1.72, 0.00, 0.00, 0.01, 1.64, 0.86, 0.02, 0.16, 0.00, 0.02, 1.25, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
8, 0, 0.292, 0.98, 1, 0.09, 0.00, 0.91, 0.29, 1.37, 0.00, 0.56, 1.84, 2.74, 2.45, 0.21, 0.00, 1.28, 0.24, 1.81, 0.41, 1.90, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0
8, 1, 0.292, 0.98, 1, 0.00, 0.00, 1.64, 0.00, 0.51, 0.97, 1.38, 0.00, 0.00, 0.41, 1.69, 1.01, 0.22, 0.09, 0.00, 0.00, 0.35, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
9, 0, 0.333, 0.93, 1, 0.16, 0.00, 0.72, 0.49, 1.69, 0.21, 0.62, 1.79, 2.87, 2.68, 0.32, 0.00, 0.98, 0.44, 2.03, 0.47, 1.55, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0
9, 1, 0.333, 0.98, 1, 0.00, 0.00, 1.65, 0.00, 0.54, 0.88, 1.39, 0.00, 0.00, 0.29, 1.71, 0.88, 0.24, 0.18, 0.00, 0.00, 0.13, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
10, 0, 0.375, 0.93, 1, 0.41, 0.00, 0.49, 0.32, 2.12, 1.41, 0.87, 1.73, 2.94, 2.64, 0.11, 0.00, 0.91, 0.37, 2.10, 0.00, 1.32, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0
10, 1, 0.375, 0.98, 1, 0.00, 0.00, 1.51, 0.00, 0.51, 0.95, 1.30, 0.00, 0.00, 0.31, 1.69, 0.87, 0.16, 0.05, 0.00, 0.00, 0.01, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
11, 0, 0.417, 0.93, 1, 0.70, 0.00, 1.26, 0.00, 2.26, 1.26, 0.90, 1.64, 2.89, 2.80, 0.20, 0.00, 0.95, 0.33, 2.21, 0.00, 1.22, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0
11, 1, 0.417, 0.98, 1, 0.00, 0.00, 1.46, 0.00, 0.50, 0.91, 1.27, 0.00, 0.00, 0.32, 1.72, 0.90, 0.16, 0.11, 0.00, 0.00, 0.06, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
12, 0, 0.458, 0.93, 1, 0.75, 0.00, 0.72, 0.00, 2.45, 1.78, 0.71, 1.48, 2.86, 2.23, 0.28, 0.00, 0.94, 0.34, 1.93, 0.00, 0.95, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0
12, 1, 0.458, 0.98, 1, 0.00, 0.00, 1.39, 0.00, 0.47, 0.68, 1.29, 0.00, 0.00, 0.32, 1.70, 0.87, 0.05, 0.10, 0.00, 0.00, 0.06, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
13, 0, 0.500, 0.93, 1, 0.73, 0.00, 0.87, 0.00, 2.86, 2.30, 0.85, 1.48, 2.84, 2.25, 0.47, 0.00, 1.08, 0.13, 2.11, 0.00, 0.79, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
13, 1, 0.500, 0.98, 1, 0.00, 0.00, 1.43, 0.00, 0.49, 0.74, 1.31, 0.00, 0.00, 0.41, 1.73, 0.87, 0.11, 0.09, 0.00, 0.00, 0.03, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
14, 0, 0.542, 0.93, 1, 0.82, 0.00, 0.58, 0.00, 2.92, 2.96, 0.91, 1.37, 2.80, 1.87, 0.39, 0.00, 1.02, 0.24, 2.13, 0.00, 0.62, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0
14, 1, 0.542, 0.98, 1, 0.00, 0.00, 1.41, 0.00, 0.52, 0.88, 1.28, 0.00, 0.00, 0.33, 1.75, 1.00, 0.08, 0.12, 0.00, 0.05, 0.05, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
15, 0, 0.583, 0.93, 1, 0.38, 0.00, 0.38, 0.00, 3.11, 3.60, 1.04, 1.19, 2.63, 1.81, 0.22, 0.00, 1.04, 0.40, 2.11, 0.00, 0.61, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0
15, 1, 0.583, 0.98, 1, 0.00, 0.00, 1.28, 0.00, 0.52, 0.87, 1.21, 0.00, 0.00, 0.43, 1.64, 0.90, 0.25, 0.11, 0.00, 0.00, 0.02, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
16, 0, 0.625, 0.93, 1, 0.02, 0.00, 0.44, 0.00, 2.86, 2.94, 0.93, 1.01, 2.42, 1.83, 0.46, 0.00, 1.29, 0.51, 1.43, 0.00, 0.69, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0
16, 1, 0.625, 0.98, 1, 0.00, 0.00, 1.52, 0.00, 0.61, 1.19, 1.41, 0.00, 0.00, 0.30, 1.64, 0.89, 0.33, 0.17, 0.00, 0.02, 1.14, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
17, 0, 0.667, 0.98, 1, 0.00, 0.00, 0.29, 0.00, 2.61, 2.73, 1.27, 0.74, 1.85, 1.72, 0.34, 0.00, 1.43, 0.58, 0.55, 0.00, 0.38, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
17, 1, 0.667, 0.98, 1, 0.00, 0.00, 1.28, 0.00, 0.10, 0.00, 0.96, 0.00, 0.04, 0.00, 1.59, 1.02, 0.52, 0.07, 0.00, 0.00, 2.02, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
18, 0, 0.708, 0.93, 1, 0.00, 0.00, 0.41, 0.00, 2.16, 2.51, 1.42, 0.56, 1.52, 1.27, 0.33, 0.00, 1.25, 0.65, 0.27, 0.00, 0.46, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
18, 1, 0.708, 0.93, 1, 0.00, 0.00, 1.48, 0.00, 0.14, 0.00, 1.07, 0.00, 0.00, 0.00, 1.41, 0.98, 0.47, 0.16, 0.00, 0.00, 1.64, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
19, 0, 0.750, 0.93, 1, 0.08, 0.00, 0.57, 0.00, 1.89, 2.52, 1.46, 0.58, 1.31, 1.12, 0.27, 0.00, 1.23, 0.60, 0.32, 0.00, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
19, 1, 0.750, 0.98, 1, 0.00, 0.00, 1.36, 0.00, 0.26, 0.00, 1.00, 0.00, 0.01, 0.00, 1.47, 1.11, 0.40, 0.25, 0.00, 0.00, 1.69, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
20, 0, 0.792, 0.98, 1, 0.00, 0.00, 0.41, 0.00, 1.61, 2.01, 1.22, 0.94, 1.49, 1.02, 0.30, 0.00, 0.62, 0.33, 0.89, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
20, 1, 0.792, 0.98, 1, 0.00, 0.00, 0.89, 0.00, 0.26, 0.02, 1.04, 0.00, 0.02, 0.00, 1.56, 0.95, 0.69, 0.03, 0.00, 0.00, 1.85, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
21, 0, 0.833, 0.98, 1, 0.00, 0.00, 0.23, 0.00, 2.06, 2.86, 1.30, 0.82, 1.68, 1.29, 0.17, 0.00, 0.93, 0.65, 0.70, 0.00, 0.14, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
21, 1, 0.833, 0.98, 1, 0.00, 0.00, 1.13, 0.00, 0.27, 0.20, 1.43, 0.00, 0.00, 0.00, 1.68, 0.99, 0.55, 0.25, 0.00, 0.22, 1.73, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
22, 0, 0.875, 0.98, 1, 0.23, 0.00, 0.41, 0.00, 2.08, 2.50, 1.01, 0.67, 1.66, 1.43, 0.00, 0.00, 0.75, 0.69, 0.32, 0.00, 0.14, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0
22, 1, 0.875, 0.98, 1, 0.00, 0.00, 1.24, 0.00, 0.40, 1.11, 1.54, 0.00, 0.00, 0.00, 1.73, 1.06, 0.58, 0.30, 0.00, 0.27, 1.34, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
23, 0, 0.917, 0.93, 1, 0.00, 0.00, 0.33, 0.00, 2.00, 2.35, 1.32, 0.75, 1.77, 1.53, 0.00, 0.00, 0.74, 0.62, 0.27, 0.00, 0.30, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
23, 1, 0.917, 0.98, 1, 0.00, 0.00, 1.49, 0.00, 0.67, 1.46, 1.69, 0.03, 0.00, 0.00, 1.82, 0.96, 0.77, 0.23, 0.00, 0.08, 1.14, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
24, 0, 0.958, 0.93, 1, 0.01, 0.00, 0.23, 0.00, 2.03, 2.46, 1.04, 0.83, 1.75, 1.45, 0.00, 0.00, 0.66, 0.81, 0.22, 0.00, 0.04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
24, 1, 0.958, 0.98, 1, 0.00, 0.00, 1.34, 0.00, 0.68, 1.25, 1.65, 0.00, 0.00, 0.00, 1.69, 0.87, 0.63, 0.33, 0.00, 0.00, 0.75, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
25, 0, 1.000, 0.93, 1, 0.00, 0.00, 0.49, 0.00, 1.99, 2.42, 1.19, 0.77, 1.88, 1.35, 0.00, 0.00, 0.58, 0.87, 0.27, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
25, 1, 1.000, 0.98, 1, 0.00, 0.00, 1.41, 0.00, 0.92, 1.18, 1.77, 0.00, 0.00, 0.00, 1.65, 0.81, 0.48, 0.18, 0.00, 0.00, 0.38, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
26, 0, 1.042, 0.93, 1, 0.00, 0.00, 0.66, 0.00, 2.34, 1.84, 1.16, 1.38, 2.13, 1.88, 0.08, 0.00, 0.52, 0.80, 0.91, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
26, 1, 1.042, 0.98, 1, 0.00, 0.00, 1.40, 0.00, 0.92, 0.64, 1.51, 0.00, 0.00, 0.00, 1.65, 1.01, 0.44, 0.08, 0.00, 0.00, 0.27, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
27, 0, 1.083, 0.93, 1, 0.24, 0.00, 0.80, 0.00, 2.29, 2.33, 1.05, 1.55, 2.44, 1.44, 0.00, 0.00, 0.33, 0.28, 1.68, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
27, 1, 1.083, 0.98, 1, 0.00, 0.00, 1.65, 0.00, 1.06, 0.82, 1.57, 0.00, 0.00, 0.07, 1.36, 0.97, 0.48, 0.14, 0.00, 0.00, 0.10, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
28, 0, 1.125, 0.93, 1, 0.30, 0.00, 0.84, 0.00, 2.58, 2.29, 1.12, 1.64, 2.59, 1.52, 0.00, 0.00, 0.17, 0.15, 1.58, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
28, 1, 1.125, 0.98, 1, 0.00, 0.00, 1.85, 0.00, 0.82, 0.68, 1.52, 0.00, 0.00, 0.14, 1.24, 0.91, 0.59, 0.12, 0.00, 0.00, 0.05, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
29, 0, 1.167, 0.98, 1, 0.30, 0.00, 0.72, 0.00, 2.45, 1.80, 1.13, 1.94, 2.84, 1.89, 0.00, 0.00, 0.18, 0.20, 2.13, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
29, 1, 1.167, 0.98, 1, 0.00, 0.00, 1.66, 0.00, 0.70, 0.56, 1.30, 0.00, 0.00, 0.44, 1.22, 0.96, 0.47, 0.26, 0.00, 0.00, 0.01, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
30, 0, 1.208, 0.98, 1, 0.10, 0.00, 1.04, 0.00, 2.55, 2.25, 1.07, 2.02, 2.96, 2.35, 0.00, 0.00, 0.05, 0.30, 2.05, 0.00, 0.03, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0
30, 1, 1.208, 0.98, 1, 0.00, 0.00, 1.82, 0.00, 0.64, 0.94, 1.31, 0.00, 0.01, 0.32, 1.26, 0.86, 0.33, 0.20, 0.00, 0.00, 0.11, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
31, 0, 1.250, 0.98, 1, 0.08, 0.00, 1.16, 0.00, 2.65, 2.45, 1.17, 2.32, 2.98, 2.17, 0.00, 0.00, 0.00, 0.28, 2.03, 0.00, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
31, 1, 1.250, 0.98, 1, 0.00, 0.00, 1.71, 0.00, 0.57, 1.05, 1.18, 0.00, 0.01, 0.35, 1.19, 0.98, 0.64, 0.15, 0.00, 0.00, 0.10, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
32, 0, 1.292, 0.98, 1, 0.00, 0.00, 0.98, 0.00, 2.63, 2.02, 1.07, 2.24, 3.23, 2.02, 0.00, 0.00, 0.00, 0.17, 1.89, 0.00, 0.35, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
32, 1, 1.292, 0.98, 1, 0.00, 0.00, 1.70, 0.00, 0.75, 1.36, 1.34, 0.00, 0.00, 0.15, 1.37, 0.86, 0.24, 0.04, 0.00, 0.00, 0.18, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
33, 0, 1.333, 0.98, 1, 0.21, 0.00, 0.71, 0.00, 2.79, 1.69, 1.07, 2.30, 3.45, 2.10, 0.00, 0.00, 0.02, 0.28, 2.10, 0.00, 0.25, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
33, 1, 1.333, 0.98, 1, 0.00, 0.00, 1.55, 0.00, 0.68, 1.51, 1.35, 0.00, 0.08, 0.24, 1.47, 1.02, 0.32, 0.19, 0.00, 0.00, 0.20, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
34, 0, 1.375, 0.98, 1, 0.33, 0.00, 1.22, 0.00, 2.56, 1.49, 1.03, 2.20, 3.30, 2.17, 0.00, 0.00, 0.17, 0.25, 2.01, 0.00, 0.31, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
34, 1, 1.375, 0.98, 1, 0.00, 0.00, 1.60, 0.00, 0.67, 1.42, 1.31, 0.00, 0.02, 0.31, 1.41, 1.02, 0.35, 0.07, 0.00, 0.00, 0.15, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
35, 0, 1.417, 0.98, 1, 0.12, 0.00, 1.31, 0.00, 2.55, 1.32, 0.98, 2.08, 3.32, 1.99, 0.00, 0.00, 0.19, 0.20, 2.00, 0.00, 0.29, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
35, 1, 1.417, 0.98, 1, 0.00, 0.00, 1.38, 0.00, 0.67, 1.46, 1.33, 0.00, 0.00, 0.03, 1.33, 1.00, 0.33, 0.05, 0.00, 0.00, 0.15, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
