frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
182, 1, 7.549, 0.93, 1, 0.30, 0.68, 0.00, 0.96, 0.15, 0.00, 0.04, 1.18, 0.64, 0.00, 0.00, 0.00, 0.73, 0.00, 2.68, 1.58, 1.92, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
183, 0, 7.591, 0.98, 1, 0.00, 0.00, 0.46, 1.68, 1.43, 0.00, 0.00, 2.17, 3.14, 1.64, 0.00, 0.00, 0.00, 0.00, 1.28, 0.47, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
183, 1, 7.591, 0.93, 1, 0.12, 0.63, 0.00, 0.81, 0.23, 0.29, 0.17, 0.76, 0.50, 0.01, 0.30, 0.00, 0.74, 0.00, 1.89, 1.55, 1.44, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
184, 0, 7.633, 0.98, 1, 0.00, 0.00, 0.51, 1.34, 1.55, 0.07, 0.00, 1.91, 3.11, 1.67, 0.00, 0.00, 0.00, 0.00, 1.32, 0.51, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
184, 1, 7.633, 0.93, 1, 0.29, 0.54, 0.00, 0.36, 0.15, 0.18, 0.05, 0.72, 0.39, 0.00, 0.56, 0.44, 0.98, 0.00, 1.20, 0.56, 0.68, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
185, 0, 7.674, 0.98, 1, 0.00, 0.00, 0.42, 1.51, 1.37, 0.00, 0.00, 1.99, 3.14, 1.60, 0.00, 0.00, 0.00, 0.00, 1.31, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
185, 1, 7.674, 0.93, 1, 0.34, 0.65, 0.00, 0.00, 0.07, 0.00, 0.00, 0.58, 0.36, 0.00, 0.69, 0.34, 0.55, 0.00, 0.88, 0.47, 0.20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
186, 0, 7.716, 0.98, 1, 0.04, 0.00, 0.49, 1.22, 1.38, 0.03, 0.00, 2.14, 3.28, 1.66, 0.00, 0.00, 0.00, 0.00, 1.34, 0.39, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
186, 1, 7.716, 0.98, 1, 0.66, 0.84, 0.00, 0.00, 0.11, 0.00, 0.00, 0.84, 0.41, 0.00, 0.80, 0.46, 0.50, 0.00, 0.87, 0.29, 0.00, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
187, 0, 7.758, 0.98, 1, 0.00, 0.00, 0.29, 1.51, 1.41, 0.00, 0.00, 2.08, 3.25, 1.34, 0.00, 0.00, 0.00, 0.00, 1.39, 0.54, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
